	loss	timestamp	checkpoint_dir_name	should_checkpoint	done	training_iteration	trial_id	date	time_this_iter_s	time_total_s	pid	hostname	node_ip	time_since_restore	iterations_since_restore	config/lr	config/batch_size	config/num_trials	config/max_num_epochs	config/device	config/n_backbone_layers	config/n_backbone_size	config/hidden_size	logdir
0	0.008051733486354351	1758975478	checkpoint_000000	True	True	1	bfece_00032	2025-09-27_14-17-58	3037.3315165042877	3037.3315165042877	2025297	hydra	192.168.1.50	3037.3315165042877	1	2.2582197960678108e-05	4096	100	50	cuda	4	64	64	bfece_00032
1	0.00369288120418787	1759133020	checkpoint_000049	True	True	50	bfece_00083	2025-09-29_10-03-40	1434.2328243255615	89953.78436279297	2321935	hydra	192.168.1.50	89953.78436279297	50	0.00019835968306756806	4096	100	50	cuda	4	80	72	bfece_00083
2	0.018880264833569527	1758958649	checkpoint_000000	True	True	1	bfece_00007	2025-09-27_09-37-29	1738.637130498886	1738.637130498886	2017382	hydra	192.168.1.50	1738.637130498886	1	1.0940809314940197e-05	8192	100	50	cuda	5	72	56	bfece_00007
3	0.0035833215806633234	1759154647	checkpoint_000044	True	False	45	bfece_00058	2025-09-29_16-04-07	1441.4133496284485	136204.71418642998	2036825	hydra	192.168.1.50	136204.71418642998	45	0.00025510548315824854	2048	100	50	cuda	3	56	80	bfece_00058
4	0.008023915812373161	1758994183	checkpoint_000000	True	True	1	bfece_00041	2025-09-27_19-29-43	2811.0934007167816	2811.0934007167816	2030145	hydra	192.168.1.50	2811.0934007167816	1	3.212982411712216e-05	4096	100	50	cuda	3	56	80	bfece_00041
5	0.004790370352566242	1759065160	checkpoint_000003	True	True	4	bfece_00084	2025-09-28_15-12-40	5039.797390699387	21509.27066206932	2322173	hydra	192.168.1.50	21509.27066206932	4	6.44197993190803e-05	2048	100	50	cuda	5	64	64	bfece_00084
6	0.008065742440521717	1758959449	checkpoint_000000	True	True	1	bfece_00008	2025-09-27_09-50-49	2537.539516210556	2537.539516210556	2017383	hydra	192.168.1.50	2537.539516210556	1	3.844202085021849e-05	4096	100	50	cuda	3	72	80	bfece_00008
7	0.007998938672244549	1759020554	checkpoint_000000	True	True	1	bfece_00059	2025-09-28_02-49-14	1657.880154132843	1657.880154132843	2037069	hydra	192.168.1.50	1657.880154132843	1	7.097002610421e-05	8192	100	50	cuda	3	64	72	bfece_00059
8	0.004849689546972513	1758997960	checkpoint_000003	True	True	4	bfece_00042	2025-09-27_20-32-40	1221.197871208191	5472.41872215271	2030484	hydra	192.168.1.50	5472.41872215271	4	0.00044533679814782404	8192	100	50	cuda	4	64	56	bfece_00042
9	0.006943564396351576	1759047591	checkpoint_000001	True	True	2	bfece_00085	2025-09-28_10-19-51	1116.6745448112488	2813.030728816986	2322514	hydra	192.168.1.50	2813.030728816986	2	0.00021450370186436535	8192	100	50	cuda	3	72	72	bfece_00085
10	0.003729729214683175	1759018417	checkpoint_000049	True	True	50	bfece_00009	2025-09-28_02-13-37	1268.1386563777924	61505.42665934563	2017387	hydra	192.168.1.50	61505.42665934563	50	0.0002780258529509839	8192	100	50	cuda	4	72	80	bfece_00009
11	0.0071628945879638195	1759024563	checkpoint_000001	True	True	2	bfece_00060	2025-09-28_03-56-03	2221.0238201618195	4971.97737121582	2037350	hydra	192.168.1.50	4971.97737121582	2	4.0397138499812855e-05	4096	100	50	cuda	3	64	72	bfece_00060
